status	retry_stage	kind	relative_path	url	error	failure_count	failed_at	next_retry_after	deferred_reason	stopped_at	stopped_reason
deferred	monthly	pdfs	pdfs/mil-source-reference-link.pdf	https://www.esd.whs.mil/Portals/54/Documents/DOPSR/Docs/dd1910.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T16:57:03Z	2026-08-10T16:57:03Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/09-f-1460.pdf	https://www.esd.whs.mil/Portals/54/Documents/FOID/Reading%20Room/Congressional_Correspondence/09-F-1460doc6_Congressional_correspondence_logs_from_July1_2008toJuly24_2009.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T16:57:03Z	2026-08-10T16:57:03Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/100-series-general-office-records.pdf	https://www.esd.whs.mil/Portals/54/Documents/RPDD/RDS/100_Series_General_Office_Records.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T16:57:04Z	2026-08-10T16:57:04Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/2009-letter.pdf	https://commons.wikimedia.org/wiki/File%3AReid_letter_2009_1532565293943_49621615_ver1.0.pdf	Unable to find page link for https://commons.wikimedia.org/wiki/File%3AReid_letter_2009_1532565293943_49621615_ver1.0.pdf	3	2026-07-11T16:57:15Z	2026-08-10T16:57:15Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/2017-military-court-transcript.pdf	https://www.mc.mil/Portals/0/pdfs/KSM2/KSM%20II%20%28TRANS4Dec2017-MERGED%29.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T16:57:16Z	2026-08-10T16:57:16Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/age-of-the-document.pdf	https://www.rmda.army.mil/declassification/docs/FAQs_on_Mandatory_Declassification_Review2.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T16:59:43Z	2026-08-10T16:59:43Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/army-regulation-15-6.pdf	https://armypubs.army.mil/epubs/DR_pubs/DR_a/pdf/web/r15_6.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:00:22Z	2026-08-10T17:00:22Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/b-lynn-wright.pdf	https://www.secnav.navy.mil/donhr/About/Senior-Executives/Biographies/Wright%2C%20L.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:00:26Z	2026-08-10T17:00:26Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/command-and-control-c2-activities.pdf	https://www.doctrine.af.mil/Portals/61/documents/AFDP_3-30/AFDP%203-30-Command-and-Control.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:02:18Z	2026-08-10T17:02:18Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/current-intelligence-bulletin.pdf	https://www.cia.gov/readingroom/docs/CIA-RDP79T00975A002200380001-5.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:02:21Z	2026-08-10T17:02:21Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dd-instruction-5230-09.pdf	https://www.esd.whs.mil/portals/54/documents/dd/issuances/dodd/523009p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:02:22Z	2026-08-10T17:02:22Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dd-instruction-5230-29.pdf	https://www.esd.whs.mil/Portals/54/Documents/DD/Issuances/dodi/523029p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:02:23Z	2026-08-10T17:02:23Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/department-of-defense-instruction-dodi-5400-04.pdf	https://www.esd.whs.mil/portals/54/documents/dd/issuances/dodi/540004p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:01Z	2026-08-10T17:03:01Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/df-2025-00021.pdf	https://www.dni.gov/files/documents/FOIA/DF-2025-00021-Immaculate-Constellation-descrp-from-UNCLASS-Press-22-Oct-2024.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:02Z	2026-08-10T17:03:02Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/doc-0000015452.pdf	https://www.cia.gov/readingroom/docs/DOC_0000015452.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:02Z	2026-08-10T17:03:02Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dod-dictionary-of-military-and-associated-terms.pdf	https://www.jcs.mil/Portals/36/Documents/Doctrine/pubs/dictionary.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:03Z	2026-08-10T17:03:03Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dod-manual-dodm-5110-04-m.pdf	https://www.esd.whs.mil/Portals/54/Documents/CMD/5110-04-m/511004vol2.PDF	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:04Z	2026-08-10T17:03:04Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dod-manual-5110-04-volume-1-manual-for-written-material-correspondence-management.pdf	https://execsec.defense.gov/Portals/34/Documents/511004m_v1.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:04Z	2026-08-10T17:03:04Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dodd-5122-05.pdf	https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodd/512205_dodd_2017.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:06Z	2026-08-10T17:03:06Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dodi-5400-13.pdf	https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodi/540013p.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:06Z	2026-08-10T17:03:06Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/dr-sean-kirkpatrick.pdf	https://media.defense.gov/2022/Jul/20/2003039076/-1/-1/1/DR-SEAN-M-KIRKPATRICK-BIOGRAPHY.PDF	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:07Z	2026-08-10T17:03:07Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/elizondo-s-dod-ig-complaint.pdf	https://www.dropbox.com/s/cgqoaeore81lbxs/Luis%20Elizondo%20IG%20Complaint%20Redacted.pdf?dl=0	Unable to find page link for https://www.dropbox.com/s/cgqoaeore81lbxs/Luis%20Elizondo%20IG%20Complaint%20Redacted.pdf?dl=0	3	2026-07-11T17:03:16Z	2026-08-10T17:03:16Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/envelope-02-1954.pdf	https://documents.theblackvault.com/documents/ufos/Brazil/1954_ENVELOPE_02.pdf	Unable to find page link for https://documents.theblackvault.com/documents/ufos/Brazil/1954_ENVELOPE_02.pdf	3	2026-07-11T17:03:19Z	2026-08-10T17:03:19Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/executive-order-11652.pdf	https://www.cia.gov/library/readingroom/docs/CIA-RDP80B01495R000200090013-0.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:22Z	2026-08-10T17:03:22Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/first-released.pdf	https://www.cia.gov/readingroom/docs/DOC_0000015274.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:28Z	2026-08-10T17:03:28Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/formal-complaint.pdf	https://www.dropbox.com/scl/fi/g2dy1prmro5kre3ukfxeo/Luis-Elizondo-IG-Complaint-Redacted.pdf?rlkey=hqn0iw0g5gdi4crs2h2e4eg6q&e=1&dl=0	Unable to find page link for https://www.dropbox.com/scl/fi/g2dy1prmro5kre3ukfxeo/Luis-Elizondo-IG-Complaint-Redacted.pdf?rlkey=hqn0iw0g5gdi4crs2h2e4eg6q&e=1&dl=0	3	2026-07-11T17:03:36Z	2026-08-10T17:03:36Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-19.pdf	https://adlnet.gov/uploads/SF298%20Final%20Report%20SenSe.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:46Z	2026-08-10T17:03:46Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-8.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1034560.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:46Z	2026-08-10T17:03:46Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-10.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1036036.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:47Z	2026-08-10T17:03:47Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-4.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1039679.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:48Z	2026-08-10T17:03:48Z	previous download failed; waiting before retry		
deferred	monthly	pdfs	pdfs/inside-the-pentagon-s-release-of-three-ufo-videos-16.pdf	https://apps.dtic.mil/dtic/tr/fulltext/u2/1043438.pdf	Direct gov/mil download failed; deferring before browser retry.	3	2026-07-11T17:03:48Z	2026-08-10T17:03:48Z	previous download failed; waiting before retry		
