kind	filename	source_category	relative_path	url	bytes	sha256	valid
metadata	catalog-export-25738.json		metadata/catalog-export-25738.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-25738.json	7441	59ae5b139e5c9de4c254b9d2a4039873e2f13b6fd99ca9d326c693c7ef37459c	True
metadata	catalog-export-262327376.json		metadata/catalog-export-262327376.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-262327376.json	3781	8e3b3e568c0a6303ca307e61940dd37c88761de76abd0396195df45598851559	True
metadata	catalog-export-2838871.json		metadata/catalog-export-2838871.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-2838871.json	5098	f3b133af527c1295b5717338f81ad090914933bbf84aa81c20fd285ef4ca3551	True
metadata	catalog-export-291645977.json		metadata/catalog-export-291645977.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-291645977.json	4960	28867ee0a3f37b792f6ea7db617eb0c6f8a3d3b2f2dd57d49504a80e5d6f9099	True
metadata	catalog-export-297910556.json		metadata/catalog-export-297910556.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910556.json	3941	8c2cf50f8a2ddec728d63b749cf75e6d5a8f47fe90b813dbd37d03a4d566932e	True
metadata	catalog-export-297910558.json		metadata/catalog-export-297910558.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910558.json	3971	b96f5cf7886236be92055e7653398c6c389a8e2863ed5dbba7085bc99f92a430	True
metadata	catalog-export-297910560.json		metadata/catalog-export-297910560.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910560.json	3969	61203765047b29a3a0669b96d155deb90bdb93b8ae58256ec4c7c5d2cd7e3b75	True
metadata	catalog-export-297910564.json		metadata/catalog-export-297910564.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910564.json	3982	cc6cd809e499e92b0524b9347dfc0c92a96f86d194f0e79bc056a01dc86ad98b	True
metadata	catalog-export-297910570.json		metadata/catalog-export-297910570.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910570.json	3959	2ed5391208bd8a3754189ffea0620a6cbaf82f494cc0b3c0cb7aab26887d29de	True
metadata	catalog-export-297910572.json		metadata/catalog-export-297910572.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910572.json	3963	3703e86dff0118a8e87dff297a7f2da8e392276dcf366d049da50345f7116d1f	True
metadata	catalog-export-297910574.json		metadata/catalog-export-297910574.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910574.json	3963	6ea6eb72936dcee7ac1ba0630bd72b7c687663d0ec707855d439e1be060ccb17	True
metadata	catalog-export-297910576.json		metadata/catalog-export-297910576.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910576.json	4282	cf5dd8290dc525364830ce718fdba5d7dd54acbdce47984a304962f228e980d9	True
metadata	catalog-export-297910578.json		metadata/catalog-export-297910578.json	https://catalog.archives.gov/medialz/bulk-downloads/uaps/JSON/catalog-export-297910578.json	4272	07a8b71eb26484e849cca7524f492e1a5fb8f49c378389b695f4ca41e9d205a1	True
