status	document_id	bytes	sha256	relative_path	title	category	url
existing	18594	49290	4ba0582bc21a8c2eb4b01a67c6c6787ea5e6746c4990e67a37a73564daec7626	documents/18594-chile-specimen-gpn-summary.pdf	Chile Specimen_GPN Summary		https://drstevengreer.com/wp-content/uploads/2022/06/Chile-Specimen_GPN-Summary.pdf
existing	18596	292444	375aa6613c5c393c3cedaed31c50e13ddd77a6779ee7629b5a63ed627aae3cd0	documents/18596-cia-brief-12-10-52.pdf	CIA Brief 12 10 52		https://drstevengreer.com/wp-content/uploads/2022/06/CIA-Brief-12-10-52.pdf
existing	18598	327817	7ea08bd043c45a6b1137328b844d3b0b066ce2878d135a129bcee788de8438f9	documents/18598-clinton-docs.pdf	Clinton Docs		https://drstevengreer.com/wp-content/uploads/2022/06/Clinton-Docs.pdf
existing	18600	123235	77414f504bb881546cf0cc5494f3fad68df6e05098f87134b40869b6c6f5060c	documents/18600-coherent-thought-sequencing-transcript.pdf	Coherent Thought Sequencing Transcript		https://drstevengreer.com/wp-content/uploads/2022/06/Coherent-Thought-Sequencing-Transcript.pdf
existing	18602	309880	4fa165e1e8d8d45934ec217c4bc8186600b58ca685d534dbc82d909179926d1a	documents/18602-commander-a-l-jones-witness-report.pdf	Commander A.L. Jones Witness Report	Sighting of UFO Off The Newfoundland Coast – February 10, 1951	https://drstevengreer.com/wp-content/uploads/2022/06/Commander-A.L.-Jones-Witness-Report.pdf
existing	18604	16438	3894bba4cfabaa9fd41e72c31d924bcb27391ceac63254ed9ebd34dbf7830b98	documents/18604-comments-from-intelligence-source.docx	comments from intelligence source		https://drstevengreer.com/wp-content/uploads/2022/06/comments-from-intelligence-source.docx
existing	23875	673802	9b8414db4037d41fc77e4e059ced36df934a6c396c561700e5c80e6fb4722e3e	documents/23875-comprehensive-assessment-of-the-ufo-eti-phenomenon.pdf	Comprehensive Assessment of the UFO/ETI Phenomenon	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2023/06/Comprehensive-Assessment-of-the-UF-ET-Phenomenon.pdf
existing	18606	75125	95274c97dcb97b390972e10eff5143d14662fd62f48f4c5076901f8155c75708	documents/18606-cosmic-deception.pdf	Cosmic Deception	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/CosmicDeception.pdf
existing	23876	412438	8b2158c2099d229a3edf6c3df507ae95fbe3c3747ff84a929d481509e528198e	documents/23876-cosmos-the-holographic-conscious-universe.pdf	Cosmos-The Holographic Conscious Universe	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2023/06/Petaluma-Slides.pdf
existing	18608	48629	c65b7a5cfaa86b4b2ad970b04389daf9bfde308e47502d27919538b18462ba15	documents/18608-criteria-for-device.pdf	Criteria for Device		https://drstevengreer.com/wp-content/uploads/2022/06/Criteria-for-Device.pdf
existing	23877	552208	7d7d7f8a4a47b7b80da210876a6f334b61c6a39fdfa9f4cc2f33e5fbec1f050d	documents/23877-ddt-decoy-distract-and-trash.pdf	DDT: Decoy, Distract and Trash	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2023/06/DD-Decoy-Distract-and-Trash.pdf
existing	18775	249553	e6119829395f9218dce29ce97b9e425898c54a2c535b9c6fe0d44bb1a493f2bf	documents/18775-deadline-expires-on-cseti-ultimatum-jan-1997.pdf	Deadline Expires on CSETI Ultimatum (Jan. 1997)	Press Releases and Newsletters	https://drstevengreer.com/wp-content/uploads/2022/06/1-January-1997.pdf
existing	18613	438691	e365e03fefff9448b9e525766e11746a47fe14aa2fc458e21845c952b428f3c6	documents/18613-diagram-of-encounter.pdf	Diagram of Encounter	Sighting of UFO Off The Newfoundland Coast – February 10, 1951	https://drstevengreer.com/wp-content/uploads/2022/06/Diagram-of-Encounter.pdf
existing	18615	65807	e8e6686085976dd245f9a09075eb66a84146635fae112481b9f12fedd77b22f3	documents/18615-disclosure-and-9-11-an-analysis.pdf	Disclosure and 9/11: An Analysis	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/disclosure911.pdf
existing	23878	340777	181bfc2eae4d54e8d3739b68fabc52cab9c621a855f2badd0da7379b05de7aa6	documents/23878-disclosure-and-transformation.pdf	Disclosure and Transformation	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2023/06/DIsclosure-and-Transformation.pdf
existing	18769	39794	6359e469262d8818c3d31dee9631bfedd6360f84d6efab1a75da824aa63ab331	documents/18769-disclosure-announcement-for-world-leaders-draft.pdf	Disclosure Announcement for World Leaders (DRAFT)	Dr Greer's Papers	https://drstevengreer.com/wp-content/uploads/2022/06/World-Leader.pdf
existing	18635	1643582	d311767d7649d152b1d6b3d34ef667ff0b1768b4467a358ee88614a4972bd106	documents/18635-disclosure-project-executive-summary.pdf	Disclosure Project Executive Summary	Disclosure Documents	https://drstevengreer.com/wp-content/uploads/2022/06/ExecutiveSummary-LRdocs.pdf
existing	17387	1115206	0adf08dc8151a452a85712f529fc850ea72100b2905fb62543ae88e45155df34	documents/17387-dr-greer-s-response-to-former-cia-director-woolsey-s-denial-of-meeting-1999.pdf	Dr. Greer’s Response to Former CIA Director Woolsey’s Denial of Meeting (1999)	Letters and Briefings	https://drstevengreer.com/wp-content/uploads/2022/05/1999-Greer-reply-to-CNI-news-1.pdf
existing	18619	1956986	c8649bef0a6e5bb2c3f6804a0e9aca9b9b690226a18fb6c1159f8315ba38496a	documents/18619-eisenhower-briefing-by-maji-nov-1952.pdf	Eisenhower Briefing by MAJI – Nov 1952	Letters and Briefings	https://drstevengreer.com/wp-content/uploads/2022/06/Eisenhower-Briefing-Nov-1952.pdf
existing	18621	13473	afbe3e4f0933133e8ec234096642e31061273bee2d86428169094ad4504643ba	documents/18621-email-to-nolan-re-russian-specimen.docx	Email to Nolan re Russian specimen		https://drstevengreer.com/wp-content/uploads/2022/06/Email-to-Nolan-re-Russian-specimen.docx
existing	18627	748695	1db5e2a6fea3b9daa1a2c166373fd944dc8a27702fc37f487ef683de654fa0ad	documents/18627-energy-suppression-gary-v.pdf	Energy Suppression Gary_V		https://drstevengreer.com/wp-content/uploads/2022/06/Energy-Suppression-Gary_V.pdf
existing	18625	1443394	b7233bad5806b32a0fcb5cf1f8caaf8b36286e08b6ee4653ad5a514d044efa59	documents/18625-energy1.pdf	Energy1		https://drstevengreer.com/wp-content/uploads/2022/06/Energy1.pdf
existing	18629	749469	d71579f4e15247683bd5739992e80cde290be54fe698494915d72411ad04350d	documents/18629-energytfr.pdf	EnergyTFR		https://drstevengreer.com/wp-content/uploads/2022/06/EnergyTFR.pdf
existing	18631	937630	5f547f476fe1a528c978d0f89540882890a509e47b3902736178ba849065e683	documents/18631-epwoutofboxbrief.pdf	EPWoutofboxBrief		https://drstevengreer.com/wp-content/uploads/2022/06/EPWoutofboxBrief.pdf
