status	kind	bytes	sha256	relative_path	title	url
existing	documents	2413920	747210790956423282455f6ee17ce0984158af0ac8393504ae9b55515ab7326b	documents/qoo-09jan2008-0100-txt.txt	QOO_09Jan2008_0100.txt	https://documents.theblackvault.com/documents/Stephenville/QOO_09Jan2008_0100.txt
existing	documents	2044593	652be460f81dcdd6e6f1bb236238acaa55bbedfa29d094788b3239666f515a1b	documents/qoo-09jan2008-0130-txt.txt	QOO_09Jan2008_0130.txt	https://documents.theblackvault.com/documents/Stephenville/QOO_09Jan2008_0130.txt
existing	documents	5988080	7f7476377349b1b16347fec65e848738550372d8bce1b38ba546fc23a6bb17ed	documents/qys-08jan2008-2200-txt.txt	QYS_08Jan2008_2200.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_08Jan2008_2200.txt
existing	documents	6314807	ad4156fe73f86d6eddd4882460c83fb03767dbae15a833e04d78576eb5b61841	documents/qys-08jan2008-2230-txt.txt	QYS_08Jan2008_2230.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_08Jan2008_2230.txt
existing	documents	6186176	09ff5069732e8a5502f9e5b26cf05252f8c7d2a053cb534c6dde5a8b5991f66d	documents/qys-08jan2008-2300-txt.txt	QYS_08Jan2008_2300.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_08Jan2008_2300.txt
existing	documents	5042464	61db692ab0de1502c9446cbbd8fa9522cef9fedbf928f1f369bada548966553b	documents/qys-08jan2008-2330-txt.txt	QYS_08Jan2008_2330.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_08Jan2008_2330.txt
existing	documents	5107852	0d5fec04bafa47f25e0ae07840d7769cce75e0fd95bcdbbde178eb7f6e681369	documents/qys-09jan2008-0000-txt.txt	QYS_09Jan2008_0000.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_09Jan2008_0000.txt
existing	documents	4984721	c80c4cbed73f052c7eb4e21377c0c5c0688343f879afc00a39ba954cd1ee923f	documents/qys-09jan2008-0030-txt.txt	QYS_09Jan2008_0030.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_09Jan2008_0030.txt
existing	documents	5128574	431a6ecd5e7daee6764312f2722a14e5eaccc8e760bc2d7ed734d73ae7e0efe5	documents/qys-09jan2008-0100-txt.txt	QYS_09Jan2008_0100.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_09Jan2008_0100.txt
existing	documents	4930969	a83b71ccb0f0af7f0d7389ea84406f65ec9400999e3c052821ca589227ae9a3e	documents/qys-09jan2008-0130-txt.txt	QYS_09Jan2008_0130.txt	https://documents.theblackvault.com/documents/Stephenville/QYS_09Jan2008_0130.txt
