status	bytes	sha256	relative_path	title	url	page_url
existing	268584	4baaf83cb04d4299aa53e83dce1caaf994c0d11362af2f493b1f73ce7ae7ed1e	pdfs/1950-s-intelligence-chronology.pdf	1950's Intelligence Chronology	https://media.defense.gov/2024/Sep/20/2003550779/-1/-1/0/DOCID_6652457_SEALED_OK.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=2
existing	474371	5a4e43182e5c472188bcd7215621ef8d7a8c56f67fb9015cc52e4886ac95fd04	pdfs/2016-presidential-transition-brochure.pdf	2016 Presidential Transition brochure	https://media.defense.gov/2021/Jul/12/2002760758/-1/-1/0/PRESIDENTIAL_TRANSITION_NOV_23B.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=3
existing	52626	63291bac9cc8eb108cfe6edf3f7bda3e77a04a2ef3c14abd32ef6a7bc0cdfc7a	pdfs/2016-presidential-transition-brochure-press-kit-insert-4.pdf	2016 Presidential Transition brochure Press Kit Insert 4	https://media.defense.gov/2021/Jul/12/2002760756/-1/-1/0/2016_INSERT_4_DEFENDING_NATION_5.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=3
existing	814193	a1ac1a255dfbe8e7e650f347388986cb78317677f88be13ddc8746c2bfec344d	pdfs/2016-presidential-transition-trifold-brochure.pdf	2016 Presidential Transition trifold brochure	https://media.defense.gov/2021/Jul/12/2002760755/-1/-1/0/PRESIDENTIAL_TRANSITION_TRIFOLD_NOV_23B.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=4
existing	1225412	79680b963f18f796c1029b4a7d5e051c407e0961b2a11fa91b8e70c85fec7713	pdfs/2016-presidential-transition-transition-team-opening-remarks.pdf	2016 Presidential Transition: Transition Team Opening Remarks	https://media.defense.gov/2021/Jul/12/2002760746/-1/-1/0/TRANSITION-TEAM-OPENING-REMARKS.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=4
existing	10444523	885aa562db18763bd0f3cb3c66d23fd70ba88144227a41a699cb549a490a9dc0	pdfs/3q-fy2009-pdf.pdf	3Q_FY2009.PDF	https://media.defense.gov/2021/Jul/12/2002760632/-1/-1/0/3Q_FY2009.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=6
existing	9612670	b74634ad7042d6c51afc3b11d6e37f1623a51fc863aff93b99344bd625070aa5	pdfs/3q-fy2010-pdf.pdf	3Q_FY2010.PDF	https://media.defense.gov/2021/Jul/12/2002760627/-1/-1/0/3Q_FY2010.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=6
existing	7173672	91897fb6c7efef81f4321e85ab93c5c4230e41ec8d0cdaf725d498c6cc7b0618	pdfs/4q-fy2009-pdf.pdf	4Q_FY2009.PDF	https://media.defense.gov/2021/Jul/12/2002760637/-1/-1/0/4Q_FY2009.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=6
existing	581291	734120d9fb4d038561ff115bb84415feeb57ae0844f7d7f9ffe4a21ba6f3f5cd	pdfs/7-may-52-with-a-venona-c-n-release-date-03-13-2025.pdf	7 MAY 52 WITH A VENONA C-N RELEASE DATE 03-13-2025	https://media.defense.gov/2025/Apr/23/2003695934/-1/-1/0/7_MAY_52_WITH_A_VENONA_C-N_RELEASE_DATE__03-13-2025--DEBUROW.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/
existing	12243624	c50b54cb12d1c1a7025533bb86fc8bb885ba1046a95fb582e0d3f77b13a21464	pdfs/alias-list-from-records-release-date-03-13-2025.pdf	ALIAS LIST FROM RECORDS RELEASE DATE 03-13-2025	https://media.defense.gov/2025/Apr/23/2003695936/-1/-1/0/ALIAS_LIST_FROM_RECORDS_RELEASE_DATE_03-13-2025--DEBUROW.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/
existing	8075200	fb13d33b55c54cdcf9a53fb4da2042a16db539d141325aa28ef5fc51122a16cb	pdfs/american-cryptology-during-the-cold-war-1945-1989.pdf	American Cryptology during the Cold War 1945-1989	https://media.defense.gov/2024/Sep/20/2003550780/-1/-1/0/DOCID_6764276_SEALED_OK.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=2
existing	1690917	533e9ef22ef81350247076bd8a36f0a63951f3643630c36b026c031cf1ecedb7	pdfs/an-application-of-cluster-analysis-to-the-question-of-hands-and-languages-in-the-voynich-manuscript.pdf	An Application of Cluster Analysis to the Question of "Hands" and "Languages" in the Voynich Manuscript	https://media.defense.gov/2021/Jul/13/2002761422/-1/-1/0/AN-APPLICATION-OF-CLUSTER-ANALYSIS.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=3
existing	577999	1f8626e81efc8843e2c37322e9b7343c1b751dd87c0e54fda349a41d6c9723b6	pdfs/appreciation-for-copies-of-voynich-manuscript.pdf	Appreciation for Copies of Voynich Manuscript	https://media.defense.gov/2021/Jul/13/2002761424/-1/-1/0/APPRECIATION-FOR-COPIES-OF-VOYNICH-MANUSCRIPT.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=3
existing	1413323	a9286e8e21d3cbbc0c939931b6abc7404cd96d096196e33cb11577f106b5f664	pdfs/calendar-year-1996-pdf.pdf	Calendar Year 1996.PDF	https://media.defense.gov/2021/Jul/12/2002760289/-1/-1/0/CY1996_FOIA_ANNUAL_REPORT.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=8
existing	2046092	7c169e0caa800a637e737503112747d7cc5ea836a11286772e0e652e41c88e99	pdfs/center-for-cryptologic-history-1943-the-effort-begins.pdf	Center for Cryptologic History 1943: The Effort Begins	https://media.defense.gov/2024/Sep/20/2003550777/-1/-1/0/DOCID_6605201_SEALED_OK.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=2
existing	91228506	884a3b59d54b7dd832117ef33c4db2891c0f995701bf8a1a0c98d6764fb05f85	pdfs/certain-allegations-regarding-e-mail-to-agency-officials-about-nsa-programs.pdf	Certain Allegations Regarding E-mail to Agency Officials about NSA Programs	https://media.defense.gov/2021/Jul/12/2002760402/-1/-1/0/CERTAIN-ALLEGATIONS-REGARDING-E-MAIL-TO-AGENCY-OFFICIALS-ABOUT-NSA-PROGRAMS.PDF	https://www.nsa.gov/Helpful-Links/NSA-FOIA/Frequently-Requested-Information/Unidentified-Flying-Objects-UFOs/?igpage=8
