Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
RSG	09 Jan 2008	01:30:01.855	Reinf	165.375	298.125	30100	2457	31 19 00.988 N	103 06 09.333 W	24
RSG	09 Jan 2008	01:30:01.920	Reinf	222.750	299.443	37000	1552	31 49 08.591 N	104 03 29.770 W	24
RSG	09 Jan 2008	01:30:01.940	Reinf	134.250	299.268	34000	2717	31 07 18.141 N	102 32 17.697 W	24
RSG	09 Jan 2008	01:30:02.065	Reinf	133.875	304.102	30000	3737	31 16 52.346 N	102 25 15.840 W	24
RSG	09 Jan 2008	01:30:02.135	Reinf	142.250	306.562	36000	2552	31 26 27.908 N	102 29 24.580 W	24
RSG	09 Jan 2008	01:30:02.155	Reinf	192.000	305.420	34000	2241	31 52 03.999 N	103 19 35.645 W	24
RSG	09 Jan 2008	01:30:02.175	Reinf	138.250	308.232	34000	0754	31 27 23.999 N	102 22 50.160 W	24
RSG	09 Jan 2008	01:30:02.260	SRTQC	1.000	0.000			30 03 42.909 N	100 16 04.300 W	64
RSG	09 Jan 2008	01:30:02.345	IPS							
RSG	09 Jan 2008	01:30:02.345	Reinf	199.125	312.451	38000	2336	32 15 25.893 N	103 09 05.561 W	24
RSG	09 Jan 2008	01:30:02.365	IPS							
RSG	09 Jan 2008	01:30:02.385	IPS							
RSG	09 Jan 2008	01:30:02.390	Status							
RSG	09 Jan 2008	01:30:02.495	Reinf	42.000	317.373	38000	7223	30 33 22.201 N	100 48 39.562 W	24
RSG	09 Jan 2008	01:30:02.560	Reinf	78.875	317.109	34000	7261	31 00 17.777 N	101 18 20.608 W	24
RSG	09 Jan 2008	01:30:02.580	Reinf	173.875	314.561	23000	3625	32 03 38.562 N	102 41 44.090 W	24
RSG	09 Jan 2008	01:30:02.580	Reinf	166.500	318.252	34000	1166	32 06 03.791 N	102 26 24.193 W	24
RSG	09 Jan 2008	01:30:02.665	Reinf	164.250	318.691	33000	2677	32 05 16.255 N	102 23 31.194 W	24
RSG	09 Jan 2008	01:30:02.710	Bcn	37.250	327.480	2300	1200	30 34 14.478 N	100 39 15.898 W	24
RSG	09 Jan 2008	01:30:02.900	Reinf	164.750	328.887	31000	2675	32 23 21.764 N	101 56 28.431 W	24
RSG	09 Jan 2008	01:30:02.920	Reinf	165.625	331.172	36000	2210	32 27 27.133 N	101 50 18.139 W	24
RSG	09 Jan 2008	01:30:02.985	Reinf	159.625	330.820	38000	0501	32 21 43.367 N	101 47 47.340 W	24
RSG	09 Jan 2008	01:30:03.010	Reinf	70.000	333.809	36000	2463	31 05 25.080 N	100 51 54.383 W	24
RSG	09 Jan 2008	01:30:03.095	Reinf	135.500	334.336	33000	7267	32 04 43.197 N	101 25 01.543 W	24
RSG	09 Jan 2008	01:30:03.240	Reinf	56.000	341.807	40000	2756	30 55 42.773 N	100 36 15.246 W	24
RSG	09 Jan 2008	01:30:03.305	Clock Box							
RSG	09 Jan 2008	01:30:03.325	IPS							
RSG	09 Jan 2008	01:30:03.330	Reinf	219.875	343.477	33500	6265	33 33 28.898 N	101 30 47.089 W	24
RSG	09 Jan 2008	01:30:03.345	IPS							
RSG	09 Jan 2008	01:30:03.410	IPS							
RSG	09 Jan 2008	01:30:03.520	Marker							
RSG	09 Jan 2008	01:30:03.520	Reinf	67.750	348.574	32700	1152	31 09 06.283 N	100 31 39.345 W	24
RSG	09 Jan 2008	01:30:03.560	Reinf	132.250	350.684	28900	2746	32 13 23.406 N	100 41 16.349 W	24
RSG	09 Jan 2008	01:30:03.650	Reinf	218.750	352.354	37000	2254	33 39 44.362 N	100 50 52.929 W	24
RSG	09 Jan 2008	01:30:04.050	Reinf	145.375	2.900	34000	2330	32 28 05.433 N	100 07 23.521 W	24
RSG	09 Jan 2008	01:30:04.075	Reinf	78.625	3.604	16800	0752	31 21 22.352 N	100 10 18.363 W	24
RSG	09 Jan 2008	01:30:04.075	Sch	92.250	4.395			31 34 53.220 N	100 07 48.360 W	28
RSG	09 Jan 2008	01:30:04.095	Reinf	178.500	3.340	40000	0555	33 01 05.955 N	100 03 43.696 W	24
RSG	09 Jan 2008	01:30:04.095	Sch	92.875	4.395			31 35 30.689 N	100 07 44.942 W	28
RSG	09 Jan 2008	01:30:04.160	Reinf	93.625	4.043	0	0000	31 36 18.231 N	100 08 21.043 W	8
RSG	09 Jan 2008	01:30:04.160	Reinf	91.500	4.570	10800	2275	31 34 10.265 N	100 07 32.514 W	24
RSG	09 Jan 2008	01:30:04.180	Clock Box							
RSG	09 Jan 2008	01:30:04.185	Reinf	73.000	7.207	28000	2420	31 15 12.313 N	100 05 24.833 W	24
RSG	09 Jan 2008	01:30:04.200	Reinf	131.625	5.801	27000	7212	32 13 52.547 N	100 00 24.561 W	24
RSG	09 Jan 2008	01:30:04.265	Reinf	26.250	8.437	24100	2250	30 28 33.691 N	100 11 39.534 W	24
RSG	09 Jan 2008	01:30:04.290	Reinf	72.625	11.689	24000	2570	31 13 55.790 N	099 58 56.526 W	24
RSG	09 Jan 2008	01:30:04.310	Reinf	137.375	10.898	38000	7236	32 17 41.281 N	099 45 29.578 W	24
RSG	09 Jan 2008	01:30:04.370	IPS							
RSG	09 Jan 2008	01:30:04.395	IPS							
RSG	09 Jan 2008	01:30:04.395	Reinf	152.750	13.535	36000	5230	32 31 17.705 N	099 33 51.972 W	24
RSG	09 Jan 2008	01:30:04.415	IPS							
RSG	09 Jan 2008	01:30:04.415	Reinf	198.125	13.623	30000	3441	33 15 23.424 N	099 20 30.123 W	24
RSG	09 Jan 2008	01:30:04.480	Reinf	41.875	13.359	38000	2574	30 43 10.968 N	100 04 58.108 W	24
RSG	09 Jan 2008	01:30:04.480	Reinf	49.250	13.535	36000	2766	30 50 25.797 N	100 02 46.807 W	24
RSG	09 Jan 2008	01:30:04.500	Reinf	200.500	17.402	40000	5252	33 13 56.871 N	099 04 42.840 W	24
RSG	09 Jan 2008	01:30:04.520	Reinf	95.750	17.314	6800	5215	31 34 19.485 N	099 42 43.551 W	24
RSG	09 Jan 2008	01:30:04.585	Reinf	123.250	19.600	35000	5336	31 58 48.448 N	099 27 33.580 W	24
RSG	09 Jan 2008	01:30:04.735	Reinf	60.000	24.434	36900	1365	30 57 11.964 N	099 47 22.028 W	24
RSG	09 Jan 2008	01:30:04.820	Reinf	166.000	26.982	38000	2236	32 30 19.802 N	098 47 10.058 W	24
RSG	09 Jan 2008	01:30:04.905	Reinf	53.375	27.861	5200	1200	30 50 01.818 N	099 47 06.379 W	24
RSG	09 Jan 2008	01:30:04.950	Reinf	50.750	30.410	32000	2763	30 46 22.257 N	099 46 24.952 W	24
