Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
QOO	09 Jan 2008	00:30:02.285	Bcn	63.000	237.305	14700	5207	32 07 57.835 N	100 55 11.923 W	24
QOO	09 Jan 2008	00:30:02.515	Bcn	67.125	242.139	4900	2331	32 10 32.219 N	101 02 43.762 W	24
QOO	09 Jan 2008	00:30:02.625	Clock Box							
QOO	09 Jan 2008	00:30:02.685	IPS							
QOO	09 Jan 2008	00:30:02.690	Bcn	199.000	247.500	43000	1434	31 23 01.691 N	103 27 17.699 W	24
QOO	09 Jan 2008	00:30:02.710	IPS							
QOO	09 Jan 2008	00:30:02.730	IPS							
QOO	09 Jan 2008	00:30:02.815	Bcn	130.625	251.455	37000	0711	31 59 19.896 N	102 18 10.539 W	24
QOO	09 Jan 2008	00:30:02.940	Bcn	144.625	256.025	43000	1622	32 05 33.499 N	102 37 41.711 W	24
QOO	09 Jan 2008	00:30:03.115	Bcn	118.750	259.980	30100	0535	32 20 21.322 N	102 10 39.115 W	24
QOO	09 Jan 2008	00:30:03.140	Bcn	144.000	260.684	38000	2445	32 17 06.562 N	102 40 10.380 W	24
QOO	09 Jan 2008	00:30:03.155	Bcn	142.875	260.947	26000	2257	32 17 56.805 N	102 39 08.400 W	24
QOO	09 Jan 2008	00:30:03.690	IPS							
QOO	09 Jan 2008	00:30:03.755	IPS							
QOO	09 Jan 2008	00:30:03.775	IPS							
QOO	09 Jan 2008	00:30:04.395	Bcn	113.500	297.773	10600	5173	33 34 18.288 N	101 52 58.464 W	24
QOO	09 Jan 2008	00:30:04.415	Bcn	91.000	299.443	9400	7370	33 26 29.938 N	101 27 29.587 W	24
QOO	09 Jan 2008	00:30:04.540	Bcn	84.375	302.959	26000	6264	33 27 43.627 N	101 17 17.730 W	24
QOO	09 Jan 2008	00:30:04.610	Bcn	50.000	304.541	90000	1274	33 09 15.765 N	100 39 39.460 W	24
QOO	09 Jan 2008	00:30:04.630	Bcn	15.000	304.541	80000	1275	32 46 38.046 N	100 00 17.921 W	24
QOO	09 Jan 2008	00:30:04.650	Bcn	135.875	304.893	13700	1200	33 58 56.495 N	102 06 47.236 W	24
QOO	09 Jan 2008	00:30:04.715	IPS							
QOO	09 Jan 2008	00:30:04.715	Bcn	89.250	308.760	25000	6247	33 37 43.627 N	101 16 02.418 W	24
QOO	09 Jan 2008	00:30:04.735	IPS							
