Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
QAZ	08 Jan 2008	23:00:01.895	IPS							
QAZ	08 Jan 2008	23:00:01.895	Reinf	23.500	207.686	1800	1200	32 31 39.401 N	097 49 31.774 W	40
QAZ	08 Jan 2008	23:00:02.320	Reinf	6.125	240.381	17500	3611	32 49 49.116 N	097 42 14.005 W	56
QAZ	08 Jan 2008	23:00:02.320	Reinf	48.375	243.633	12800	2515	32 30 50.424 N	098 27 48.758 W	40
QAZ	08 Jan 2008	23:00:02.535	Sch	52.750	208.213			32 05 54.839 N	098 05 57.160 W	0
QAZ	08 Jan 2008	23:00:02.325	Reinf	16.500	241.348	3500	5245	32 44 34.450 N	097 53 46.459 W	40
QAZ	08 Jan 2008	23:00:02.345	Reinf	50.500	240.908	15700	5267	32 27 46.377 N	098 28 41.420 W	56
QAZ	08 Jan 2008	23:00:02.540	IPS							
QAZ	08 Jan 2008	23:00:02.555	IPS							
QAZ	08 Jan 2008	23:00:02.745	Reinf	42.000	274.043	35000	3376	32 55 17.529 N	098 25 53.373 W	56
QAZ	08 Jan 2008	23:00:02.855	Status							
QAZ	08 Jan 2008	23:00:02.860	Reinf	45.000	285.117	31000	2616	33 04 01.048 N	098 27 57.001 W	56
QAZ	08 Jan 2008	23:00:02.880	Reinf	42.750	285.908	6400	1200	33 04 05.575 N	098 25 31.141 W	40
QAZ	08 Jan 2008	23:00:02.960	Marker							
QAZ	08 Jan 2008	23:00:02.960	IPS							
QAZ	08 Jan 2008	23:00:03.175	Reinf	20.250	313.594	1500	1200	33 06 29.132 N	097 54 04.501 W	40
QAZ	08 Jan 2008	23:00:03.495	Reinf	45.375	338.730	16300	2212	33 34 46.143 N	097 56 16.646 W	56
QAZ	08 Jan 2008	23:00:03.600	Reinf	38.250	343.828	6800	5230	33 29 17.559 N	097 49 20.848 W	56
QAZ	08 Jan 2008	23:00:03.700	Sch	36.375	349.541			33 28 19.417 N	097 44 30.251 W	20
QAZ	08 Jan 2008	23:00:03.500	IPS							
QAZ	08 Jan 2008	23:00:03.515	IPS							
QAZ	08 Jan 2008	23:00:03.605	Bcn	27.250	340.840	-1000	1275	33 18 17.910 N	097 47 17.257 W	40
QAZ	08 Jan 2008	23:00:03.690	Reinf	11.750	354.814	7000	5157	33 04 11.403 N	097 37 52.493 W	56
QAZ	08 Jan 2008	23:00:03.705	Reinf	33.375	352.969	13500	6567	33 25 37.380 N	097 41 29.180 W	56
QAZ	08 Jan 2008	23:00:03.910	IPS							
QAZ	08 Jan 2008	23:00:03.910	Reinf	36.500	5.713	6900	6511	33 28 52.918 N	097 32 16.523 W	40
QAZ	08 Jan 2008	23:00:03.905	Reinf	55.500	7.734	38000	6520	33 47 13.076 N	097 27 43.149 W	56
QAZ	08 Jan 2008	23:00:04.020	Reinf	22.875	17.402	10800	2527	33 14 18.964 N	097 28 29.079 W	56
QAZ	08 Jan 2008	23:00:04.230	Reinf	40.625	32.520	1700	1200	33 26 47.413 N	097 10 31.098 W	40
QAZ	08 Jan 2008	23:00:04.230	Sch	18.250	351.826			33 10 34.687 N	097 39 42.099 W	20
QAZ	08 Jan 2008	23:00:04.225	Reinf	31.875	35.068	2300	1200	33 18 37.256 N	097 14 45.984 W	56
QAZ	08 Jan 2008	23:00:04.340	Reinf	47.125	42.627	0	0411	33 27 07.997 N	096 58 30.202 W	16
QAZ	08 Jan 2008	23:00:04.330	Bcn	44.500	42.627	0	0423	33 25 12.677 N	097 00 38.307 W	14
QAZ	08 Jan 2008	23:00:04.445	Reinf	20.125	47.197	10800	2642	33 06 08.679 N	097 19 06.411 W	56
QAZ	08 Jan 2008	23:00:04.540	IPS							
QAZ	08 Jan 2008	23:00:04.550	Reinf	41.500	58.359	13300	2305	33 14 10.567 N	096 54 33.711 W	56
QAZ	08 Jan 2008	23:00:04.550	Sch	33.625	59.678			33 09 25.871 N	097 02 04.412 W	20
QAZ	08 Jan 2008	23:00:04.560	IPS							
QAZ	08 Jan 2008	23:00:04.655	Bcn	32.125	62.666	1400	4666	33 07 13.121 N	097 02 38.357 W	40
QAZ	08 Jan 2008	23:00:04.660	Reinf	35.625	66.973	9500	2317	33 06 21.751 N	096 57 37.714 W	56
QAZ	08 Jan 2008	23:00:04.650	Reinf	15.750	64.424	1000	1200	32 59 18.602 N	097 19 43.642 W	40
QAZ	08 Jan 2008	23:00:04.665	Bcn	43.125	63.281	1000	1200	33 11 48.167 N	096 50 42.817 W	32
QAZ	08 Jan 2008	23:00:04.765	Bcn	55.375	73.740	0	3203	33 07 46.493 N	096 33 21.248 W	40
QAZ	08 Jan 2008	23:00:04.765	Reinf	27.250	75.410	4500	3673	32 59 19.561 N	097 05 16.615 W	56
QAZ	08 Jan 2008	23:00:04.755	Reinf	42.500	68.555	36000	2162	33 07 46.752 N	096 49 59.998 W	56
QAZ	08 Jan 2008	23:00:04.755	Reinf	15.750	73.125	1000	5272	32 57 04.559 N	097 18 42.384 W	56
QAZ	08 Jan 2008	23:00:04.770	Reinf	44.875	72.861	10800	1432	33 05 34.813 N	096 45 37.430 W	56
QAZ	08 Jan 2008	23:00:04.775	Bcn	3.125	76.641	-1000	1276	32 53 14.226 N	097 33 01.015 W	56
QAZ	08 Jan 2008	23:00:04.860	Reinf	53.250	77.256	36000	2521	33 03 57.250 N	096 35 14.384 W	56
QAZ	08 Jan 2008	23:00:04.865	Reinf	55.500	77.959	12300	2237	33 03 49.757 N	096 32 05.282 W	56
QAZ	08 Jan 2008	23:00:04.865	Reinf	36.125	81.123	10800	7375	32 57 58.493 N	096 54 15.068 W	56
QAZ	08 Jan 2008	23:00:04.870	Sch	44.375	74.004			33 04 35.315 N	096 45 53.335 W	20
QAZ	08 Jan 2008	23:00:04.870	Bcn	47.625	79.980	900	1200	33 00 36.686 N	096 40 50.801 W	42
QAZ	08 Jan 2008	23:00:04.880	Reinf	30.625	79.014	3800	6213	32 58 16.673 N	097 00 53.420 W	56
QAZ	08 Jan 2008	23:00:04.880	Reinf	39.000	81.475	1100	1200	32 58 10.166 N	096 50 46.413 W	40
QAZ	08 Jan 2008	23:00:04.975	IPS							
QAZ	08 Jan 2008	23:00:04.975	Bcn	36.125	86.924	700	4612	32 54 20.203 N	096 53 46.246 W	56
QAZ	08 Jan 2008	23:00:04.980	Reinf	22.125	90.264	9400	2752	32 52 22.149 N	097 10 24.665 W	56
