Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
RSG	08 Jan 2008	23:30:01.590	IPS							
RSG	08 Jan 2008	23:30:01.610	IPS							
RSG	08 Jan 2008	23:30:01.630	IPS							
RSG	08 Jan 2008	23:30:02.575	IPS							
RSG	08 Jan 2008	23:30:02.590	IPS							
RSG	08 Jan 2008	23:30:02.590	Reinf	175.375	291.270	41000	7252	31 04 10.369 N	103 26 04.443 W	24
RSG	08 Jan 2008	23:30:02.655	IPS							
RSG	08 Jan 2008	23:30:02.680	Bcn	41.125	294.697	75000	1275	30 19 08.189 N	100 57 17.954 W	24
RSG	08 Jan 2008	23:30:02.760	Reinf	176.375	292.588	39000	7331	31 08 19.424 N	103 25 33.263 W	24
RSG	08 Jan 2008	23:30:02.805	Reinf	160.375	294.170	36000	4002	31 06 40.983 N	103 06 16.509 W	24
RSG	08 Jan 2008	23:30:02.890	Reinf	157.000	298.213	38000	7440	31 15 25.528 N	102 57 13.440 W	24
RSG	08 Jan 2008	23:30:02.910	Reinf	188.625	299.180	40000	1421	31 32 29.530 N	103 28 30.831 W	24
RSG	08 Jan 2008	23:30:02.975	Reinf	196.625	298.916	27000	7356	31 35 26.615 N	103 37 25.575 W	24
RSG	08 Jan 2008	23:30:03.000	Reinf	95.875	299.355	32000	7226	30 49 12.783 N	101 52 54.935 W	24
RSG	08 Jan 2008	23:30:03.020	Reinf	195.375	301.904	37000	1723	31 43 46.127 N	103 30 18.399 W	24
RSG	08 Jan 2008	23:30:03.080	Reinf	51.125	299.971	23000	4137	30 28 09.476 N	101 07 10.570 W	24
RSG	08 Jan 2008	23:30:03.105	Sch	232.750	305.156			32 13 48.234 N	104 00 10.820 W	12
RSG	08 Jan 2008	23:30:03.190	Reinf	125.000	307.178	27000	2623	31 17 33.758 N	102 12 10.108 W	24
RSG	08 Jan 2008	23:30:03.210	Reinf	103.750	308.145	38000	1321	31 06 17.569 N	101 50 52.169 W	24
RSG	08 Jan 2008	23:30:03.230	Reinf	107.375	307.969	32000	7301	31 08 16.461 N	101 54 31.310 W	24
RSG	08 Jan 2008	23:30:03.295	Reinf	139.750	309.111	25000	2603	31 30 03.309 N	102 22 46.728 W	24
RSG	08 Jan 2008	23:30:03.340	SRTQC	1.000	0.000			30 03 42.909 N	100 16 04.300 W	64
RSG	08 Jan 2008	23:30:03.425	Status							
RSG	08 Jan 2008	23:30:03.510	Reinf	184.750	312.187	29000	1343	32 05 23.398 N	102 57 02.459 W	24
RSG	08 Jan 2008	23:30:03.530	Reinf	90.125	315.791	36000	2507	31 07 01.733 N	101 29 04.345 W	24
RSG	08 Jan 2008	23:30:03.550	Reinf	158.375	314.385	36000	4047	31 52 32.939 N	102 28 47.225 W	24
RSG	08 Jan 2008	23:30:03.550	Reinf	96.125	316.670	34000	3741	31 12 20.668 N	101 32 48.147 W	24
RSG	08 Jan 2008	23:30:03.615	IPS							
RSG	08 Jan 2008	23:30:03.615	Reinf	168.375	316.670	40000	4031	32 04 11.160 N	102 31 48.510 W	24
RSG	08 Jan 2008	23:30:03.640	IPS							
RSG	08 Jan 2008	23:30:03.640	Reinf	85.000	320.010	43000	2722	31 07 32.572 N	101 19 26.724 W	24
RSG	08 Jan 2008	23:30:03.655	IPS							
RSG	08 Jan 2008	23:30:03.655	Clock Box							
RSG	08 Jan 2008	23:30:03.935	Reinf	158.625	328.271	27000	7435	32 17 16.494 N	101 54 21.879 W	24
RSG	08 Jan 2008	23:30:03.960	Reinf	110.375	330.557	13700	2542	31 38 49.853 N	101 19 35.657 W	24
RSG	08 Jan 2008	23:30:03.975	Reinf	163.750	328.535	36000	3463	32 21 56.360 N	101 56 49.369 W	24
RSG	08 Jan 2008	23:30:04.040	Reinf	60.125	332.051	36000	7254	30 55 41.357 N	100 48 39.879 W	24
RSG	08 Jan 2008	23:30:04.065	Reinf	135.875	332.578	15800	0557	32 03 16.222 N	101 29 39.053 W	24
RSG	08 Jan 2008	23:30:04.085	Reinf	158.125	332.402	26000	3611	32 22 38.510 N	101 42 28.279 W	24
RSG	08 Jan 2008	23:30:04.085	Reinf	146.250	334.775	45000	1064	32 14 45.632 N	101 29 23.019 W	24
RSG	08 Jan 2008	23:30:04.150	Reinf	131.625	334.424	28000	7214	32 01 21.992 N	101 22 49.178 W	24
RSG	08 Jan 2008	23:30:04.575	IPS							
RSG	08 Jan 2008	23:30:04.600	IPS							
RSG	08 Jan 2008	23:30:04.600	Reinf	143.000	351.562	32000	3673	32 24 19.969 N	100 40 48.952 W	24
RSG	08 Jan 2008	23:30:04.615	IPS							
RSG	08 Jan 2008	23:30:04.680	Marker							
RSG	08 Jan 2008	23:30:04.790	Reinf	169.625	355.869	34100	3676	32 52 07.389 N	100 30 33.303 W	24
RSG	08 Jan 2008	23:30:04.830	Reinf	144.375	358.154	28000	0514	32 27 15.357 N	100 21 33.577 W	24
RSG	08 Jan 2008	23:30:04.920	Reinf	141.875	359.912	25200	7343	32 24 51.021 N	100 16 19.706 W	24
RSG	08 Jan 2008	23:30:05.000	Clock Box							
RSG	08 Jan 2008	23:30:05.215	Reinf	210.125	7.031	38000	0515	33 31 28.328 N	099 45 21.603 W	24
RSG	08 Jan 2008	23:30:05.365	Bcn	180.000	16.084	23000	5250	32 55 47.238 N	099 16 53.227 W	24
RSG	08 Jan 2008	23:30:05.450	Reinf	127.250	14.062	37000	0656	32 06 11.429 N	099 39 44.853 W	24
RSG	08 Jan 2008	23:30:05.535	Reinf	207.500	16.436	36000	2240	33 21 42.490 N	099 06 05.569 W	24
RSG	08 Jan 2008	23:30:05.560	Reinf	125.875	18.193	12000	0512	32 02 28.002 N	099 29 51.627 W	24
RSG	08 Jan 2008	23:30:05.575	IPS							
RSG	08 Jan 2008	23:30:05.575	Reinf	158.750	16.611	36000	1012	32 34 51.201 N	099 22 27.351 W	24
RSG	08 Jan 2008	23:30:05.640	IPS							
RSG	08 Jan 2008	23:30:05.640	Reinf	160.125	19.072	34000	2274	32 34 01.390 N	099 14 15.522 W	24
RSG	08 Jan 2008	23:30:05.665	IPS							
RSG	08 Jan 2008	23:30:05.665	Reinf	129.625	21.885	17300	3474	32 03 04.384 N	099 19 15.989 W	24
RSG	08 Jan 2008	23:30:05.685	Reinf	197.875	21.006	34000	3472	33 07 16.147 N	098 51 44.732 W	24
RSG	08 Jan 2008	23:30:05.790	Reinf	121.625	25.137	22000	2447	31 52 49.206 N	099 15 27.549 W	24
RSG	08 Jan 2008	23:30:05.855	Reinf	184.875	23.994	30000	3461	32 51 23.880 N	098 46 56.655 W	24
RSG	08 Jan 2008	23:30:05.880	Reinf	191.250	27.686	35800	0545	32 51 36.763 N	098 30 44.747 W	24
RSG	08 Jan 2008	23:30:06.175	Reinf	42.250	35.420	3700	4676	30 37 15.035 N	099 47 41.866 W	24
RSG	08 Jan 2008	23:30:06.200	Clock Box							
RSG	08 Jan 2008	23:30:06.220	Reinf	176.375	39.551	38000	2125	32 17 47.611 N	098 03 47.103 W	24
RSG	08 Jan 2008	23:30:06.305	Reinf	171.375	39.639	34000	2634	32 13 51.069 N	098 07 21.879 W	24
RSG	08 Jan 2008	23:30:06.390	Reinf	56.000	42.012	38000	2524	30 44 06.811 N	099 32 51.886 W	24
RSG	08 Jan 2008	23:30:06.430	Reinf	159.625	44.209	17300	0504	31 56 19.997 N	098 05 21.114 W	24
RSG	08 Jan 2008	23:30:06.495	Reinf	15.000	45.264	25000	1644	30 13 01.796 N	100 04 10.042 W	24
RSG	08 Jan 2008	23:30:06.520	Reinf	228.375	43.594	34000	7217	32 46 11.911 N	097 09 32.047 W	24
RSG	08 Jan 2008	23:30:06.540	Reinf	99.375	49.219	27000	3456	31 07 16.290 N	098 48 32.627 W	24
RSG	08 Jan 2008	23:30:06.600	IPS							
RSG	08 Jan 2008	23:30:06.625	IPS							
RSG	08 Jan 2008	23:30:06.625	Reinf	167.000	49.482	34900	2555	31 49 59.558 N	097 47 15.270 W	24
RSG	08 Jan 2008	23:30:06.645	IPS							
