Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
QAZ	09 Jan 2008	00:00:02.095	Reinf	50.250	258.311	26000	2257	32 42 07.973 N	098 34 41.521 W	56
QAZ	09 Jan 2008	00:00:02.205	Bcn	5.500	268.066	21600	6264	32 52 22.258 N	097 41 40.274 W	56
QAZ	09 Jan 2008	00:00:02.310	Marker							
QAZ	09 Jan 2008	00:00:02.310	IPS							
QAZ	09 Jan 2008	00:00:02.310	Sch	15.250	232.998			32 43 19.848 N	097 51 00.894 W	0
QAZ	09 Jan 2008	00:00:02.415	Reinf	31.750	286.436	6300	1200	33 01 25.476 N	098 12 48.822 W	56
QAZ	09 Jan 2008	00:00:02.520	Reinf	38.875	290.566	41000	1462	33 05 51.742 N	098 19 15.492 W	56
QAZ	09 Jan 2008	00:00:02.525	Reinf	15.500	297.861	4400	5211	32 59 44.980 N	097 52 53.615 W	40
QAZ	09 Jan 2008	00:00:02.735	Reinf	25.625	307.441	38000	7453	33 07 36.886 N	098 00 06.450 W	56
QAZ	09 Jan 2008	00:00:02.625	Status							
QAZ	09 Jan 2008	00:00:02.840	Reinf	23.875	315.176	23400	3410	33 09 14.071 N	097 56 24.015 W	56
QAZ	09 Jan 2008	00:00:02.845	Reinf	51.375	323.877	21600	2071	33 33 53.408 N	098 12 45.536 W	56
QAZ	09 Jan 2008	00:00:02.855	IPS							
QAZ	09 Jan 2008	00:00:02.950	Sch	63.000	3.604			33 55 27.640 N	097 31 51.726 W	0
QAZ	09 Jan 2008	00:00:02.945	IPS							
QAZ	09 Jan 2008	00:00:03.055	Sch	63.000	5.889			33 55 15.005 N	097 28 51.353 W	0
QAZ	09 Jan 2008	00:00:03.050	Sch	63.000	4.658			33 55 22.563 N	097 30 28.401 W	0
QAZ	09 Jan 2008	00:00:03.160	Bcn	27.250	340.840	-1000	1275	33 18 17.910 N	097 47 17.257 W	40
QAZ	09 Jan 2008	00:00:03.270	IPS							
QAZ	09 Jan 2008	00:00:03.375	Reinf	43.875	358.066	39000	6760	33 35 56.862 N	097 38 22.122 W	56
QAZ	09 Jan 2008	00:00:03.375	Reinf	26.875	4.131	10900	2763	33 19 18.660 N	097 34 18.702 W	56
QAZ	09 Jan 2008	00:00:03.590	Reinf	47.125	17.402	3000	1200	33 37 32.758 N	097 19 44.425 W	40
QAZ	09 Jan 2008	00:00:03.910	Reinf	19.125	40.781	41000	6645	33 06 05.342 N	097 22 41.613 W	56
QAZ	09 Jan 2008	00:00:03.905	IPS							
QAZ	09 Jan 2008	00:00:03.905	Reinf	46.875	43.682	17700	3634	33 26 18.310 N	096 58 01.054 W	56
QAZ	09 Jan 2008	00:00:03.920	IPS							
QAZ	09 Jan 2008	00:00:04.015	Reinf	59.000	46.318	23000	3434	33 33 04.021 N	096 45 41.534 W	56
QAZ	09 Jan 2008	00:00:04.015	Reinf	52.875	50.537	40000	2421	33 25 44.619 N	096 48 15.478 W	56
QAZ	09 Jan 2008	00:00:04.010	Reinf	59.500	48.252	35000	2403	33 31 48.628 N	096 43 48.031 W	56
QAZ	09 Jan 2008	00:00:04.120	Reinf	54.375	53.965	28000	5720	33 24 15.048 N	096 44 18.644 W	56
QAZ	09 Jan 2008	00:00:04.225	Reinf	15.000	65.566	1500	1200	32 58 42.907 N	097 20 23.046 W	40
QAZ	09 Jan 2008	00:00:04.230	Reinf	37.250	63.896	11000	3660	33 08 48.636 N	096 56 49.814 W	56
QAZ	09 Jan 2008	00:00:04.230	Reinf	38.250	68.027	4300	0573	33 06 44.041 N	096 54 23.765 W	40
QAZ	09 Jan 2008	00:00:04.240	Reinf	21.625	66.709	10800	0574	33 01 01.090 N	097 13 04.432 W	56
QAZ	09 Jan 2008	00:00:04.335	IPS							
QAZ	09 Jan 2008	00:00:04.335	Bcn	56.250	74.180	2000	1200	33 07 36.239 N	096 32 10.630 W	40
QAZ	09 Jan 2008	00:00:04.335	Bcn	3.125	76.641	-1000	1276	32 53 14.226 N	097 33 01.015 W	56
QAZ	09 Jan 2008	00:00:04.330	Reinf	46.000	71.895	10800	1172	33 06 38.764 N	096 44 36.756 W	56
QAZ	09 Jan 2008	00:00:04.330	Reinf	42.625	74.443	3800	5277	33 03 48.573 N	096 47 45.831 W	56
QAZ	09 Jan 2008	00:00:04.350	Reinf	32.625	75.498	6400	3431	33 00 36.209 N	096 59 04.714 W	56
QAZ	09 Jan 2008	00:00:04.445	Reinf	45.125	81.475	10900	2340	32 59 01.540 N	096 43 36.938 W	56
QAZ	09 Jan 2008	00:00:04.445	Reinf	39.875	84.902	1100	0627	32 55 55.091 N	096 49 25.720 W	56
QAZ	09 Jan 2008	00:00:04.435	Reinf	59.125	78.223	14800	6245	33 04 16.738 N	096 27 49.021 W	56
QAZ	09 Jan 2008	00:00:04.440	Reinf	28.000	83.232	2400	5140	32 55 44.975 N	097 03 35.163 W	56
QAZ	09 Jan 2008	00:00:04.455	Reinf	15.625	79.893	12000	2232	32 55 13.265 N	097 18 28.990 W	56
QAZ	09 Jan 2008	00:00:04.455	Reinf	29.625	84.111	2100	2253	32 55 28.805 N	097 01 36.616 W	56
QAZ	09 Jan 2008	00:00:04.550	Bcn	28.000	90.439	500	2454	32 52 13.672 N	097 03 22.414 W	56
QAZ	09 Jan 2008	00:00:04.550	Reinf	29.500	94.131	1200	6607	32 50 18.379 N	097 01 41.762 W	56
QAZ	09 Jan 2008	00:00:04.545	Reinf	35.750	88.506	9500	2165	32 53 19.794 N	096 54 13.340 W	56
QAZ	09 Jan 2008	00:00:04.545	Reinf	33.625	92.988	1700	7243	32 50 39.275 N	096 56 45.710 W	56
QAZ	09 Jan 2008	00:00:04.560	Reinf	48.500	94.219	1400	4666	32 48 43.348 N	096 39 13.649 W	40
QAZ	09 Jan 2008	00:00:04.655	Reinf	59.500	94.307	21100	6211	32 47 43.236 N	096 26 22.748 W	56
QAZ	09 Jan 2008	00:00:04.655	Reinf	40.500	101.074	3800	5231	32 44 34.537 N	096 49 30.114 W	56
QAZ	09 Jan 2008	00:00:04.650	Reinf	39.625	98.789	1500	6244	32 46 18.405 N	096 50 10.523 W	40
QAZ	09 Jan 2008	00:00:04.670	Reinf	39.250	102.480	2300	4643	32 43 52.860 N	096 51 11.437 W	40
QAZ	09 Jan 2008	00:00:04.760	Reinf	29.750	104.414	1300	1200	32 45 01.145 N	097 02 27.222 W	40
QAZ	09 Jan 2008	00:00:04.765	Reinf	20.750	111.357	1400	1200	32 44 54.630 N	097 13 42.288 W	40
QAZ	09 Jan 2008	00:00:04.755	Reinf	30.250	103.359	2700	2276	32 45 25.997 N	097 01 43.304 W	56
QAZ	09 Jan 2008	00:00:04.775	Reinf	42.250	104.326	13600	3604	32 41 54.148 N	096 48 11.122 W	40
QAZ	09 Jan 2008	00:00:04.870	Reinf	14.500	116.895	4200	3474	32 45 56.139 N	097 21 17.772 W	56
QAZ	09 Jan 2008	00:00:04.870	Reinf	18.625	118.125	2500	0141	32 43 41.782 N	097 17 08.982 W	40
QAZ	09 Jan 2008	00:00:04.865	IPS							
QAZ	09 Jan 2008	00:00:04.865	Reinf	32.000	112.676	3900	0503	32 40 04.647 N	097 01 38.871 W	56
