Id	Date	Time	MsgType	Range	AzDegs	MC	M3	Lat	Lon	RL
QAZ	08 Jan 2008	22:30:01.230	IPS							
QAZ	08 Jan 2008	22:30:01.230	Reinf	26.125	197.842	12800	3671	32 27 40.544 N	097 46 02.735 W	40
QAZ	08 Jan 2008	22:30:01.335	Reinf	42.875	206.895	7600	2760	32 14 11.328 N	097 59 28.160 W	40
QAZ	08 Jan 2008	22:30:01.440	Sch	50.500	210.146			32 08 43.874 N	098 06 27.952 W	20
QAZ	08 Jan 2008	22:30:01.655	Reinf	6.500	229.746	7800	5134	32 48 22.793 N	097 42 23.945 W	56
QAZ	08 Jan 2008	22:30:01.760	Reinf	50.125	235.371	11800	5272	32 23 50.744 N	098 25 16.978 W	56
QAZ	08 Jan 2008	22:30:01.870	Reinf	54.125	242.051	19100	3640	32 26 56.327 N	098 33 00.135 W	40
QAZ	08 Jan 2008	22:30:01.190	Reinf	48.375	199.512	7200	5251	32 06 49.408 N	097 55 37.890 W	40
QAZ	08 Jan 2008	22:30:01.600	Reinf	15.500	230.273	2900	1200	32 42 34.889 N	097 50 44.365 W	56
QAZ	08 Jan 2008	22:30:01.815	IPS							
QAZ	08 Jan 2008	22:30:01.830	IPS							
QAZ	08 Jan 2008	22:30:01.975	Reinf	49.875	258.838	6000	1200	32 42 37.294 N	098 34 35.525 W	56
QAZ	08 Jan 2008	22:30:02.190	Reinf	48.375	273.252	21500	3627	32 55 02.387 N	098 33 48.880 W	56
QAZ	08 Jan 2008	22:30:02.295	IPS							
QAZ	08 Jan 2008	22:30:02.400	Reinf	49.375	286.875	37000	3120	33 06 33.033 N	098 32 23.977 W	56
QAZ	08 Jan 2008	22:30:02.720	Reinf	38.375	313.330	21000	5153	33 18 42.674 N	098 09 46.767 W	40
QAZ	08 Jan 2008	22:30:02.830	Sch	38.000	314.209			33 18 58.476 N	098 09 05.812 W	20
QAZ	08 Jan 2008	22:30:02.775	IPS							
QAZ	08 Jan 2008	22:30:02.790	IPS							
QAZ	08 Jan 2008	22:30:03.040	Reinf	48.750	336.533	20700	3704	33 37 09.411 N	097 59 47.820 W	56
QAZ	08 Jan 2008	22:30:03.045	Bcn	27.250	340.928	-1000	1275	33 18 18.737 N	097 47 14.431 W	40
QAZ	08 Jan 2008	22:30:02.990	Reinf	43.250	342.422	16500	6526	33 33 42.962 N	097 52 12.707 W	56
QAZ	08 Jan 2008	22:30:03.150	Reinf	48.750	344.883	38000	7034	33 39 13.858 N	097 51 42.613 W	56
QAZ	08 Jan 2008	22:30:03.255	Marker							
QAZ	08 Jan 2008	22:30:03.255	IPS							
QAZ	08 Jan 2008	22:30:03.255	Reinf	33.125	351.562	11900	3212	33 25 16.866 N	097 42 24.753 W	56
QAZ	08 Jan 2008	22:30:03.255	Reinf	45.375	355.869	34000	4025	33 37 29.115 N	097 40 29.918 W	56
QAZ	08 Jan 2008	22:30:03.575	Reinf	33.625	20.654	21000	1736	33 23 51.120 N	097 22 31.753 W	40
QAZ	08 Jan 2008	22:30:03.685	Reinf	16.000	28.828	2300	1200	33 06 33.119 N	097 27 26.052 W	40
QAZ	08 Jan 2008	22:30:03.790	Reinf	7.875	37.705	10400	3463	32 58 37.190 N	097 31 01.039 W	40
QAZ	08 Jan 2008	22:30:03.895	Reinf	51.875	49.307	20400	6255	33 26 10.427 N	096 49 44.027 W	56
QAZ	08 Jan 2008	22:30:03.840	IPS							
QAZ	08 Jan 2008	22:30:03.855	IPS							
QAZ	08 Jan 2008	22:30:04.005	Reinf	39.875	51.855	14800	3637	33 17 02.878 N	096 59 17.225 W	56
QAZ	08 Jan 2008	22:30:04.005	Reinf	16.875	55.811	6500	3423	33 01 58.886 N	097 20 02.666 W	56
QAZ	08 Jan 2008	22:30:03.945	Reinf	20.250	50.977	10800	2011	33 05 13.197 N	097 17 57.802 W	56
